id,tau_days,p_days,tau_length,p_length,tau,p,lon,lat,p_days_adj,p_length_adj,p_number_adj,days_sig,length_sig,num_sig
03167,0.29633277654647827,0.019796133041381836,0.21531911194324493,0.10494399070739746,0.27361711859703064,0.06082320213317871,7.9603,50.6621,0.03153156520363813,0.15951486587524413,0.16021201398112986,1,0,0
03196,0.29473167657852173,0.02035212516784668,0.3135194480419159,0.016993165016174316,0.37887489795684814,0.007520437240600586,11.9324,53.3221,0.032224198182423905,0.05136570334434509,0.08110724045680119,1,0,0
03234,0.4437055289745331,0.0014986991882324219,0.3611968457698822,0.013960719108581543,0.2339802086353302,0.14107036590576172,13.4328,51.1294,0.00553686088985867,0.047467370576496366,0.2624106107058225,1,1,0
03244,0.07598276436328888,0.5574026107788086,0.05144196376204491,0.7088223695755005,0.2418665736913681,0.09178280830383301,10.1384,47.9821,0.586043851648866,0.7393990208120907,0.20918219517438838,0,0,0
03257,0.5371139049530029,3.063678741455078e-5,0.5452906489372253,4.8160552978515625e-5,0.5010599493980408,4.633665084838867e-4,9.7832,49.4797,7.108251253763835e-4,0.005980443954467774,0.05050645934210884,1,1,0
03271,0.4432692229747772,4.4226646423339844e-4,0.31610214710235596,0.0156862735748291,0.23551683127880096,0.09799826145172119,12.9189,48.8548,0.0027745962142944336,0.048735577484657025,0.21722947955131533,1,1,0
03289,0.3776024281978607,0.00396573543548584,0.23461031913757324,0.09280788898468018,0.07342533022165298,0.6404287815093994,11.7838,50.7281,0.009710141278188164,0.1443678273095025,0.7249108760914904,1,0,0
03307,-0.026522882282733917,0.8499902486801147,-0.037705231457948685,0.7921455502510071,0.1504451483488083,0.31560325622558594,11.2649,47.4814,0.8729629581039016,0.8179503494454909,0.4305152110564403,0,0,0
03366,0.3131346106529236,0.012867331504821777,0.23048797249794006,0.0868067741394043,0.3416486382484436,0.017476201057434082,12.5024,48.279,0.022849947214126587,0.13663078059811565,0.09918069070385348,1,0,0
03376,0.33390751481056213,0.0075147151947021484,0.2743597626686096,0.037468671798706055,0.22207362949848175,0.1234135627746582,14.1232,52.5176,0.015385044538057766,0.0810298105565513,0.2455958998795097,1,0,0
